question,question_id,category,release,paper_correct,baseline_correct,paper_prediction,baseline_prediction,expected,paper_index
What triggers the NF/NF Service Context Transfer Push procedure? [3GPP Release 18],question 80,Standards specifications,18,False,False,Option 4,option 4,option 3,20
Which 5G vertical domain is the maritime domain a part of? [3GPP Release 16],question 87,Standards overview,16,True,True,Option 5,option 5,option 5,21
What is the purpose of the User Configuration mechanism in the IMS Multimedia Telephony service? [3GPP Release 17],question 96,Standards specifications,17,True,True,Option 2,option 2,option 2,22
What is the purpose of packet buffering in Edge Relocation? [3GPP Release 18],question 100,Standards specifications,18,True,True,Option 1,option 1,option 1,23
What does the Multi-Identity (MiD) service enable? [3GPP Release 16],question 101,Standards overview,16,False,True,Option 1,option 2,option 2,24
What is the maximum number of PDU Sessions? [3GPP Release 17],question 108,Standards specifications,17,False,True,Option 1,option 4,option 4,25
Which identity is used for indication of pre-emption in the downlink? [3GPP Release 17],question 111,Standards specifications,17,True,True,Option 4,option 4,option 4,26
What is the purpose of the group identifier called 'External Group ID'? [3GPP Release 14],question 121,Standards specifications,14,False,False,Option 5,option 3,option 2,27
When can the V-SMF delete the DNS context from the selected V-EASDF? [3GPP Release 18],question 123,Standards specifications,18,False,True,Option 2,option 1,option 1,28
What does a UE determine when selecting a power for an S-SS/PSBCH block transmission occasion? [3GPP Release 17],question 135,Standards specifications,17,True,True,Option 5,option 5,option 5,29
What is supported in enhanced TTI bundling compared to Rel-13 CE mode A in eMTC? [3GPP Release 14],question 140,Standards overview,14,True,True,Option 2,option 2,option 2,30
What is the purpose of the MasterInformationBlockSidelink message? [3GPP Release 17],question 141,Standards specifications,17,False,True,Option 4,option 5,option 5,31
What is the indication used to invoke the terminal application in the peer end of a multimedia call? [3GPP Release 18],question 143,Standards specifications,18,False,True,Option 2,option 4,option 4,32
What is the role of the bearer control function? [3GPP Release 18],question 146,Standards specifications,18,True,True,Option 3,option 3,option 3,33
What is the purpose of interworking between a 5G core network and an EPC? [3GPP Release 17],question 149,Standards specifications,17,True,True,Option 4,option 4,option 4,34
What does the Relaxed monitoring for cell reselection feature in NB-IoT allow the UE to do? [3GPP Release 15],question 152,Standards overview,15,True,True,Option 1,option 1,option 1,35
What happens during session termination in online charging? [3GPP Release 18],question 159,Standards specifications,18,False,True,Option 4,option 5,option 5,36
Can any party in a multiparty call undergo voice call continuity? [3GPP Release 18],question 173,Standards specifications,18,False,True,Option 4,option 1,option 1,37
What is covered by enhanced application layer support for V2X services? [3GPP Release 17],question 179,Standards overview,17,True,True,Option 2,option 2,option 2,38
What is the purpose of the UE Capability Management Function (UCMF)? [3GPP Release 16],question 184,Standards overview,16,True,True,Option 4,option 4,option 4,39
How does a non-supporting UE select a core network operator to serve it in a shared network? [3GPP Release 17],question 185,Standards specifications,17,False,False,Option 1,option 1,option 2,40
"For PSFCH transmission with HARQ-ACK information, how are the PRBs allocated? [3GPP Release 17]",question 187,Standards specifications,17,True,True,Option 3,option 3,option 3,41
What determines the energy detection threshold in channel access procedures? [3GPP Release 17],question 188,Standards specifications,17,True,True,Option 4,option 4,option 4,42
What does the Load-Balancing steering mode do? [3GPP Release 17],question 191,Standards overview,17,True,True,Option 1,option 1,option 1,43
What does the home environment need to provide to the visited network when allowing a subscriber to roam to different domains? [3GPP Release 18],question 194,Standards specifications,18,False,True,Option 2,option 3,option 3,44
What does VarConnEstFailReportList include? [3GPP Release 17],question 195,Standards specifications,17,True,True,Option 4,option 4,option 4,45
Which interface is used to transfer short messages between the SGSN and SMS-GMSC/SMS-IWMSC? [3GPP Release 17],question 198,Standards specifications,17,False,True,Option 3,option 5,option 5,46
What does the RRC protocol offer to upper layers? [3GPP Release 17],question 203,Standards specifications,17,True,True,Option 1,option 1,option 1,47
What is SIPTO at the Local Network? [3GPP Release 17],question 206,Standards specifications,17,False,False,Option 3,option 3,option 1,48
"In the indirect communication model without delegated discovery, what is the role of the SCP? [3GPP Release 18]",question 216,Standards specifications,18,True,True,Option 4,option 4,option 4,49
When is Paging with Wake Up Signal (WUS) used? [3GPP Release 17],question 225,Standards specifications,17,False,True,Option 1,option 2,option 2,50
"In unpaired spectrum operation, when are a DL BWP and an UL BWP linked together? [3GPP Release 17]",question 233,Standards specifications,17,True,True,Option 1,option 1,option 1,51
How is Extended Access Barring supported in shared networks? [3GPP Release 17],question 244,Standards specifications,17,False,True,Option 2,option 4,option 4,52
What are the peak packet data rates supported by the Evolved Packet System on the radio access bearer? [3GPP Release 17],question 249,Standards specifications,17,False,False,Option 3,option 3,option 1,53
What is a Personal IoT Network (PIN)? [3GPP Release 17],question 257,Standards specifications,17,True,True,Option 3,option 3,option 3,54
What criteria are considered for network broadcast geographic area coverage management? [3GPP Release 18],question 268,Standards specifications,18,False,False,Option 3,option 3,option 2,55
What does the 5G system need to provide for mobile base station relays using 5G connectivity provided by a different MNO? [3GPP Release 17],question 279,Standards specifications,17,True,True,Option 3,option 3,option 3,56
When can a UE apply Type 1 channel access procedures for a UL transmission(s)? [3GPP Release 17],question 281,Standards specifications,17,True,True,Option 3,option 3,option 3,57
Which power saving scheme achieves power consumption reduction by potentially skipping PDCCH monitoring at subsequent slots of PDSCH/PUSCH transmission? [3GPP Release 16],question 282,Standards specifications,16,False,False,Option 1,option 1,option 3,58
What type of authentication and authorization is required for accessing a 5G VN group? [3GPP Release 18],question 289,Standards specifications,18,False,False,Option 2,option 3,option 5,59
What does the timing advance command for a TAG indicate? [3GPP Release 17],question 290,Standards specifications,17,True,True,Option 3,option 3,option 3,60
What can be configured separately for each SPS configuration in LTE? [3GPP Release 18],question 296,Standards specifications,18,True,True,Option 3,option 3,option 3,61
What are the supported scenarios for MPS for MMTEL voice? [3GPP Release 18],question 303,Standards specifications,18,True,True,Option 4,option 4,option 4,62
What is the high quality criterion for reporting a PLMN to the NAS in the E-UTRA and NB-IoT case? [3GPP Release 17],question 313,Standards specifications,17,False,True,Option 3,option 1,option 1,63
What power saving gain range is observed for the power saving scheme with UE adaptation to the number of antenna/MIMO layer? [3GPP Release 16],question 316,Standards specifications,16,True,True,Option 2,option 2,option 2,64
What does the SIP Reason header extension work item do? [3GPP Release 14],question 318,Standards specifications,14,True,True,Option 3,option 3,option 3,65
What is the main objective of intent driven management for service or network management? [3GPP Release 17],question 319,Standards overview,17,True,True,Option 4,option 4,option 4,66
What is the RRC buffer size for a UE? [3GPP Release 17],question 325,Standards specifications,17,False,True,Option 1,option 2,option 2,67
What does the ECS provide to the EEC? [3GPP Release 18],question 338,Standards specifications,18,True,True,Option 1,option 1,option 1,68
Are the MuD and MiD services mutually exclusive? [3GPP Release 16],question 360,Standards overview,16,True,True,Option 2,option 2,option 2,69
What does the feature 'Accessing a list of deferred data communications' enable for the MCData service? [3GPP Release 15],question 366,Standards overview,15,True,True,Option 4,option 4,option 4,70
What are the enhancements specified for the 3GPP Northbound APIs in Release 16? [3GPP Release 16],question 368,Standards overview,16,True,True,Option 5,option 5,option 5,71
Where is the UE Radio Capability ID signaled by the UE? [3GPP Release 16],question 383,Standards overview,16,True,True,Option 4,option 4,option 4,72
What is one of the requirements for interworking between fixed access and Evolved Packet Core? [3GPP Release 17],question 384,Standards specifications,17,False,False,Option 2,option 4,option 3,73
How is the modulation order (Qm) and target code rate (R) determined for PSSCH transmission? [3GPP Release 17],question 388,Standards specifications,17,True,True,Option 2,option 2,option 2,74
What inputs are required for the Nmfaf_3daDataManagement_Configure service operation? [3GPP Release 18],question 398,Standards specifications,18,False,False,Option 2,option 2,option 1,75
What are the enhanced RRM requirements in DRX in connected mode? [3GPP Release 14],question 405,Standards specifications,14,False,False,Option 2,option 3,option 1,76
Which TS specification defines the Proximity-based Services (ProSe) architecture? [3GPP Release 14],question 408,Standards overview,14,True,True,Option 3,option 3,option 3,77
Which parameter in SL-TxProfileList-r17 indicates compatibility with DRX? [3GPP Release 17],question 414,Standards specifications,17,True,True,Option 3,option 3,option 3,78
"In the context of pathloss models, what is O2I? [3GPP Release 17]",question 417,Standards specifications,17,True,True,Option 4,option 4,option 4,79
What is true about services not mentioned within the interaction clause? [3GPP Release 17],question 419,Standards specifications,17,True,True,Option 1,option 1,option 1,80
What does the 5G system need to support for a UE accessing multiple network slices? [3GPP Release 17],question 437,Standards specifications,17,True,True,Option 4,option 4,option 4,81
What QoS characteristics does the MPS system support? [3GPP Release 18],question 441,Standards specifications,18,True,True,Option 1,option 1,option 1,82
What are the key functionalities supported by the common services core in MC services? [3GPP Release 14],question 449,Standards overview,14,True,True,Option 4,option 4,option 4,83
What does the 5G system prevent in terms of privacy for UEs using 5G LAN-type service? [3GPP Release 17],question 454,Standards specifications,17,False,True,Option 5,option 1,option 1,84
Which 3GPP specification specifies the architecture for enabling Edge Applications in 5GS? [3GPP Release 18],question 456,Standards specifications,18,True,True,Option 3,option 3,option 3,85
What is associated with a time and/or date setting in the IMS Multimedia Telephony service? [3GPP Release 17],question 463,Standards specifications,17,True,True,Option 3,option 3,option 3,86
What is the purpose of the EAS discovery in the application layer architecture? [3GPP Release 18],question 468,Standards specifications,18,True,True,Option 1,option 1,option 1,87
Which entities can consume Management Data Analytics Service (MDAS)? [3GPP Release 17],question 470,Standards specifications,17,True,True,Option 1,option 1,option 1,88
Which solutions in LTE support configurable reliability and latency combinations? [3GPP Release 18],question 475,Standards specifications,18,False,True,Option 2,option 1,option 1,89
What type of frames does the Ethernet transport service need to support? [3GPP Release 17],question 478,Standards specifications,17,True,True,Option 3,option 3,option 3,90
What is the typical connection density in factory automation applications? [3GPP Release 17],question 483,Standards specifications,17,False,True,Option 4,option 3,option 3,91
What is the purpose of the Common API Framework (CAPIF) for 3GPP Northbound APIs? [3GPP Release 16],question 499,Standards overview,16,True,True,Option 1,option 1,option 1,92
How are capability parameters signalled in the corresponding FSs for intra-band contiguous CA? [3GPP Release 18],question 506,Standards specifications,18,True,True,Option 4,option 4,option 4,93
What is the purpose of the Enhanced TNL Address Discovery with the X2 GW? [3GPP Release 17],question 530,Standards specifications,17,True,True,Option 4,option 4,option 4,94
What is the purpose of providing secure means for communication scheduling information to an NPN in a 5G network? [3GPP Release 17],question 539,Standards specifications,17,False,True,Option 4,option 1,option 1,95
What are the ThreshServingOffloadWLAN parameters used for? [3GPP Release 17],question 540,Standards specifications,17,True,True,Option 5,option 5,option 5,96
"For FR2-2 measurement system, what is the minimum channel bandwidth required for modelling multi-path fading in single carrier scenarios? [3GPP Release 18]",question 548,Standards specifications,18,True,False,Option 1,option 2,option 1,97
What does 5GS act as when integrated with IEEE TSN network? [3GPP Release 18],question 552,Standards specifications,18,False,True,Option 2,option 1,option 1,98
What is the scrambling sequence generator initialized with for a PDCCH with the CRC scrambled by G-RNTI in a common search space? [3GPP Release 17],question 558,Standards specifications,17,False,False,Option 3,option 5,option 1,99
Which RRC state is the UE in when no RRC connection is established? [3GPP Release 17],question 563,Standards specifications,17,True,True,Option 5,option 5,option 5,100
What are the management aspects addressed by the OAM_LTE_WLAN work item? [3GPP Release 16],question 564,Standards overview,16,True,False,Option 3,option 2,option 3,101
How are the antenna elements placed on each antenna panel? [3GPP Release 17],question 566,Standards specifications,17,True,True,Option 3,option 3,option 3,102
What is the purpose of the map-based hybrid channel model? [3GPP Release 18],question 577,Standards specifications,18,True,True,Option 2,option 2,option 2,103
What types of services can be included in a subscription? [3GPP Release 18],question 589,Standards specifications,18,False,True,Option 2,option 1,option 1,104
What is the role of the serving network in fraud control? [3GPP Release 18],question 596,Standards specifications,18,False,False,Option 1,option 3,option 2,105
What information may be provided to an emergency services LCS Client without any request? [3GPP Release 17],question 604,Standards specifications,17,True,True,Option 3,option 3,option 3,106
What is the term for the interference between UL transmission in one cell and DL reception in another cell? [3GPP Release 18],question 609,Standards specifications,18,False,True,Option 4,option 3,option 3,107
Which keys are derived from KAMF for the protection of NAS signaling? [3GPP Release 18],question 619,Standards specifications,18,True,True,Option 1,option 1,option 1,108
What can be part of the 3GPP PS Data Off Exempt Services? [3GPP Release 18],question 621,Standards specifications,18,True,True,Option 4,option 4,option 4,109
What are the components of the Charging Trigger Function (CTF)? [3GPP Release 18],question 628,Standards specifications,18,False,True,Option 5,option 1,option 1,110
What are some examples of UICC applications? [3GPP Release 18],question 631,Standards specifications,18,True,True,Option 4,option 4,option 4,111
What does V2X stand for in the context of the document? [3GPP Release 15],question 634,Standards overview,15,True,True,Option 5,option 5,option 5,112
How does the NWDAF collect information from the UPF? [3GPP Release 18],question 636,Standards specifications,18,True,True,Option 3,option 3,option 3,113
When does a Multi-USIM UE indicate the supported Multi-USIM features to the AMF during the Registration procedure? [3GPP Release 18],question 638,Standards specifications,18,True,True,Option 1,option 1,option 1,114
How can the network request the mobile station to change the UMTS codec during a speech call? [3GPP Release 18],question 643,Standards specifications,18,False,True,Option 1,option 4,option 4,115
What is the purpose of inter-network settlement mechanisms? [3GPP Release 18],question 644,Standards specifications,18,True,True,Option 4,option 4,option 4,116
What enhancements were introduced in Release-14 for LTE-WLAN Aggregation (LWA)? [3GPP Release 14],question 646,Standards specifications,14,True,True,Option 4,option 4,option 4,117
What is the purpose of cross-network slice coordination? [3GPP Release 17],question 647,Standards specifications,17,True,True,Option 1,option 1,option 1,118
What does the Rel. 16 feature of Subscription information allow? [3GPP Release 16],question 648,Standards overview,16,False,True,Option 1,option 4,option 4,119
"What is the purpose of control plane load control, congestion and overload control in the 5G System? [3GPP Release 18]",question 649,Standards specifications,18,False,True,Option 3,option 1,option 1,120
When is the authorization for connectivity and services evaluated? [3GPP Release 18],question 652,Standards specifications,18,False,True,Option 2,option 4,option 4,121
How is the LMF connected to the NG-RAN node in the positioning architecture? [3GPP Release 16],question 654,Standards overview,16,False,False,Option 3,option 3,option 5,122
What is the purpose of the SCEF+NEF node in the non-roaming architecture for Service Exposure? [3GPP Release 18],question 658,Standards specifications,18,True,True,Option 2,option 2,option 2,123
What does a RedCap UE expect if it monitors PDCCH according to Type1-PDCCH CSS set and does not monitor PDCCH according to Type2-PDCCH CSS set? [3GPP Release 17],question 669,Standards specifications,17,True,False,Option 2,option 1,option 2,124
What key information is used by the Terminating Access Domain Selection (T-ADS) mechanism? [3GPP Release 14],question 671,Standards specifications,14,True,True,Option 4,option 4,option 4,125
Which channels are used for the performance requirements in Narrowband IoT? [3GPP Release 18],question 674,Standards specifications,18,False,False,Option 1,option 1,option 3,126
In which operation does the UDM update session management subscriber data stored in the SMF? [3GPP Release 18],question 681,Standards specifications,18,False,True,Option 4,option 1,option 1,127
What does QCI-1 represent in LTE? [3GPP Release 14],question 688,Standards overview,14,False,True,Option 1,option 2,option 2,128
Which physical channel informs the UE and the RN about the number of OFDM symbols used for the PDCCHs? [3GPP Release 17],question 702,Standards specifications,17,True,True,Option 2,option 2,option 2,129
Which specification specifies the Support of NR MBS in non-split gNB case? [3GPP Release 17],question 710,Standards specifications,17,False,True,Option 4,option 3,option 3,130
What type of reports are used to support QoS-aware packet scheduling in the uplink? [3GPP Release 17],question 715,Standards specifications,17,False,True,Option 2,option 4,option 4,131
What is the purpose of the ePWS feature? [3GPP Release 16],question 716,Standards overview,16,True,False,Option 1,option 4,option 1,132
What happens when the Control Plane data back-off timer is running? [3GPP Release 18],question 717,Standards specifications,18,False,False,Option 2,option 2,option 1,133
What is the main role of the DeNB in the mobility of a UE to or from an RN? [3GPP Release 17],question 721,Standards specifications,17,True,True,Option 1,option 1,option 1,134
Which reference point is between SMF and the CHF in the same PLMN? [3GPP Release 18],question 731,Standards specifications,18,False,True,Option 1,option 2,option 2,135
What is the purpose of the Nnef_MSISDN-less_MO_SMS service? [3GPP Release 18],question 754,Standards specifications,18,True,True,Option 1,option 1,option 1,136
"In a split gNB architecture, how is RACH configuration conflict resolved? [3GPP Release 17]",question 761,Standards specifications,17,False,False,Option 2,option 3,option 5,137
Which positioning techniques are supported in the NR positioning work item? [3GPP Release 16],question 763,Standards overview,16,True,True,Option 3,option 3,option 3,138
What is the observed range of BS energy savings when the traffic is reduced for BWP adaptation within a carrier? [3GPP Release 18],question 767,Standards specifications,18,True,True,Option 1,option 1,option 1,139
What should the UE do when checking access Class or ACDC category related cell access restrictions during RRC connection establishment for E-UTRA connected to EPC? [3GPP Release 17],question 773,Standards specifications,17,True,False,Option 4,option 1,option 4,140
What does MINT stand for? [3GPP Release 17],question 797,Standards overview,17,True,True,Option 4,option 4,option 4,141
What are the two main types of multimedia services? [3GPP Release 18],question 799,Standards specifications,18,True,True,Option 1,option 1,option 1,142
How many demodulation branches are the radiated performance requirements limited to for SAN type 1-O? [3GPP Release 18],question 812,Standards specifications,18,False,True,Option 2,option 1,option 1,143
When is DCP configured on the PCell? [3GPP Release 17],question 813,Standards specifications,17,False,False,Option 4,option 4,option 5,144
What is a requirement for clock synchronisation of the 5G system? [3GPP Release 19],question 815,Standards specifications,19,False,False,Option 1,option 1,option 5,145
Which identity is used for identification of the Random Access Response in the downlink? [3GPP Release 17],question 818,Standards specifications,17,True,True,Option 2,option 2,option 2,146
What is the purpose of the Service Enabler Architecture Layer (SEAL) for Verticals? [3GPP Release 16],question 823,Standards overview,16,False,False,Option 3,option 3,option 2,147
In which mode does an MS store the forbidden tracking area identity (TAI) in a list for regional provision of service? [3GPP Release 18],question 824,Standards specifications,18,False,True,Option 4,option 3,option 3,148
What are the requirements for relay UE selection for Evolved ProSe Remote UE access? [3GPP Release 17],question 832,Standards specifications,17,True,True,Option 5,option 5,option 5,149
What is the term used to describe an end user device replacing the UE that does not support 5G capabilities? [3GPP Release 16],question 835,Standards overview,16,True,True,Option 5,option 5,option 5,150
In which specification are the training guidelines for MDA ML entities given? [3GPP Release 17],question 836,Standards specifications,17,False,True,Option 3,option 1,option 1,151
What is the maximum frequency considered for the SNR calculation in band n263? [3GPP Release 18],question 849,Standards specifications,18,True,True,Option 3,option 3,option 3,152
What is the maximum value of E-UTRA carrier frequency? [3GPP Release 17],question 855,Standards specifications,17,False,False,Option 2,option 2,option 1,153
"What is the numerology based on for PSS, SSS, and PBCH? [3GPP Release 17]",question 856,Standards specifications,17,False,False,Option 1,option 2,option 3,154
What type of model can the consumer request for QoS Sustainability analytics? [3GPP Release 18],question 863,Standards specifications,18,True,True,Option 3,option 3,option 3,155
What happens when a mobile station (MS) attempts to camp on a cell for which it does not have service entitlement? [3GPP Release 18],question 875,Standards specifications,18,True,True,Option 2,option 2,option 2,156
How can the MTLF determine ML Model degradation? [3GPP Release 18],question 886,Standards specifications,18,True,True,Option 3,option 3,option 3,157
What does the Robust Call Setup for VoLTE subscriber in LTE Work Item aim to address? [3GPP Release 14],question 888,Standards overview,14,False,False,Option 3,option 2,option 1,158
What is the purpose of the User Service Identity Module (USIM)? [3GPP Release 18],question 890,Standards specifications,18,False,False,Option 5,option 5,option 2,159
What is the purpose of Immediate Divert in IP-PBX? [3GPP Release 17],question 892,Standards specifications,17,False,False,Option 5,option 5,option 1,160
Which logical channel can be mapped to UL-SCH in the uplink? [3GPP Release 18],question 900,Standards specifications,18,True,True,Option 4,option 4,option 4,161
What is the purpose of Dual Connectivity in the RAN? [3GPP Release 18],question 913,Standards specifications,18,False,True,Option 3,option 4,option 4,162
What does the group identifier 'External Group ID' used by the SCS/AS and SCEF represent? [3GPP Release 14],question 917,Standards specifications,14,True,True,Option 2,option 2,option 2,163
What is the scrambling sequence generator initialized with for a UE-specific search space? [3GPP Release 17],question 921,Standards specifications,17,False,True,Option 1,option 4,option 4,164
What is the spacing between carriers for category M1? [3GPP Release 18],question 923,Standards specifications,18,False,True,Option 2,option 4,option 4,165
Which architecture supports offline and online charging for Non-seamless WLAN offloaded traffic from a 3GPP UE and for fixed devices? [3GPP Release 18],question 929,Standards specifications,18,False,True,Option 1,option 2,option 2,166
What is the purpose of the Make-Before-Break solution? [3GPP Release 14],question 934,Standards specifications,14,True,True,Option 1,option 1,option 1,167
What kind of coordination communication is used in the RIM frameworks? [3GPP Release 18],question 941,Standards specifications,18,True,True,Option 2,option 2,option 2,168
What is the purpose of CS multimedia calls? [3GPP Release 18],question 943,Standards specifications,18,True,True,Option 2,option 2,option 2,169
Which stage introduced eCall for EPS over E-UTRAN? [3GPP Release 14],question 946,Standards specifications,14,False,True,Option 1,option 2,option 2,170
What is the role of the home environment in the delegation of charging authority? [3GPP Release 18],question 955,Standards specifications,18,False,False,Option 1,option 2,option 4,171
What is the potential impact of ARP errors on NR carrier phase positioning accuracy? [3GPP Release 18],question 962,Standards specifications,18,True,True,Option 2,option 2,option 2,172
What is an acceptable cell? [3GPP Release 17],question 976,Standards specifications,17,False,False,Option 3,option 3,option 1,173
What can be achieved with semi-static TRP reduction in multi-TRP operation? [3GPP Release 18],question 979,Standards specifications,18,True,True,Option 1,option 1,option 1,174
Which clause provides the MU assessment for 52.6GHz? [3GPP Release 18],question 986,Standards specifications,18,True,True,Option 5,option 5,option 5,175
What does the gNB-DU respond with to the gNB-CU after receiving the UE CONTEXT SETUP REQUEST message? [3GPP Release 17],question 990,Standards specifications,17,True,True,Option 5,option 5,option 5,176
What is the purpose of the QoS profile in NG-RAN? [3GPP Release 18],question 1005,Standards specifications,18,True,True,Option 2,option 2,option 2,177
What is the purpose of 5G LAN-type service in indirect communication mode? [3GPP Release 17],question 1014,Standards specifications,17,True,True,Option 4,option 4,option 4,178
How are Mobile Terminated Voice calls delivered for MEs capable of offering voice service on CS and IMS? [3GPP Release 18],question 1016,Standards specifications,18,True,True,Option 5,option 5,option 5,179
What is the purpose of service management requirements? [3GPP Release 18],question 1019,Standards specifications,18,True,True,Option 3,option 3,option 3,180
What is the procedure called by which a UE acquires time and frequency synchronization with a cell and detects the Cell ID of that cell? [3GPP Release 17],question 1025,Standards specifications,17,True,True,Option 2,option 2,option 2,181
What should URSP rules based on AF guidance not be set as? [3GPP Release 18],question 1029,Standards specifications,18,False,False,Option 3,option 3,option 1,182
Which type of reporting is supported for CLI measurements? [3GPP Release 18],question 1030,Standards specifications,18,True,True,Option 3,option 3,option 3,183
What is the purpose of the Media Streaming AF Event Exposure work item? [3GPP Release 17],question 1032,Standards overview,17,True,True,Option 1,option 1,option 1,184
What does the LCS Server enable in terms of services? [3GPP Release 17],question 1036,Standards specifications,17,True,True,Option 1,option 1,option 1,185
"In the context of LTE, what is the purpose of the Downlink Multiuser Superposition Transmission (MUST) feature? [3GPP Release 14]",question 1037,Standards specifications,14,True,True,Option 2,option 2,option 2,186
Which physical channel carries the DL-SCH and PCH? [3GPP Release 17],question 1043,Standards specifications,17,True,True,Option 1,option 1,option 1,187
What is the default value for the sl-MaxCID-r16 parameter in SidelinkPreconfigNR-r16? [3GPP Release 17],question 1044,Standards specifications,17,False,True,Option 4,option 2,option 2,188
What determines the allowed network exposure information for the UE? [3GPP Release 18],question 1054,Standards specifications,18,True,False,Option 5,option 2,option 5,189
"In SNPN access operation mode over 3GPP access, what lists does the MS maintain for regional provision of service? [3GPP Release 18]",question 1065,Standards specifications,18,False,True,Option 3,option 2,option 2,190
How can power saving be enabled during active-time? [3GPP Release 18],question 1066,Standards specifications,18,False,False,Option 2,option 2,option 4,191
What is the granularity of the dl-PRS-ResourceBandwidth parameter? [3GPP Release 17],question 1067,Standards specifications,17,True,True,Option 1,option 1,option 1,192
What functionalities does the RRC sublayer provide for sidelink communication? [3GPP Release 18],question 1078,Standards specifications,18,True,True,Option 5,option 5,option 5,193
What are the categories of users that the ePWS feature aims to better disseminate Warning Notifications to? [3GPP Release 16],question 1083,Standards overview,16,True,True,Option 2,option 2,option 2,194
How do victim gNBs determine if the atmospheric ducting phenomenon has ceased in the wireless framework? [3GPP Release 18],question 1095,Standards specifications,18,True,True,Option 5,option 5,option 5,195
In which scenarios does the consumer NF determine new QoS parameters? [3GPP Release 18],question 1096,Standards specifications,18,True,False,Option 3,option 5,option 3,196
How is the 5G VN group configuration information delivered to the UE? [3GPP Release 18],question 1099,Standards specifications,18,False,True,Option 5,option 3,option 3,197
What information does the consumer of NF load analytics need to indicate in the request? [3GPP Release 18],question 1101,Standards specifications,18,True,True,Option 3,option 3,option 3,198
What is the scrambling sequence initialized with at the start of each SS/PBCH block? [3GPP Release 17],question 1104,Standards specifications,17,True,True,Option 3,option 3,option 3,199
What is the requirement for network traffic patterns in service capabilities? [3GPP Release 18],question 1110,Standards specifications,18,True,True,Option 3,option 3,option 3,200
Which conditions must be satisfied for traffic steering from E-UTRAN to WLAN? [3GPP Release 17],question 1112,Standards specifications,17,True,True,Option 1,option 1,option 1,201
What are the characteristics of the interfering signals for E-UTRA SAN? [3GPP Release 18],question 1119,Standards specifications,18,False,True,Option 3,option 2,option 2,202
What is the purpose of integrity protection in NR connected to 5GC security? [3GPP Release 18],question 1123,Standards specifications,18,True,False,Option 4,option 2,option 4,203
When does the NG-RAN perform NG-RAN paging before reporting the UE's location? [3GPP Release 18],question 1134,Standards specifications,18,False,False,Option 4,option 2,option 3,204
What is the key characteristic of a roaming broker enabled Home Environment? [3GPP Release 18],question 1143,Standards specifications,18,True,False,Option 5,option 2,option 5,205
