question,question_id,category,release,paper_correct,baseline_correct,paper_prediction,baseline_prediction,expected,paper_index
What happens when there are no more data packets to be forwarded for an E-RAB in indirect data forwarding from EPS to 5GS? [3GPP Release 18],question 4451,Standards specifications,18,True,False,Option 5,option 1,option 5,789
What information does the MSC retrieve from another MSC/VLR or the UE? [3GPP Release 17],question 4511,Standards specifications,17,True,False,Option 5,option 3,option 5,795
What does the NWDAF provide to the consumer in PFD Determination analytics? [3GPP Release 18],question 4666,Standards specifications,18,True,False,Option 2,option 4,option 2,829
What does the DCCF do when a requested data is already being collected from a Data Source? [3GPP Release 18],question 4669,Standards specifications,18,True,False,Option 4,option 2,option 4,830
What is the main function of the NWDAF with Federated Learning (FL) capability? [3GPP Release 18],question 4755,Standards specifications,18,True,False,Option 1,option 4,option 1,843
What is the uplink transmission scheme used for FDD and TDD? [3GPP Release 17],question 4784,Standards specifications,17,True,False,Option 4,option 3,option 4,848
Is it possible for more than one LCS client to activate requests for the same target UE? [3GPP Release 17],question 4837,Standards specifications,17,True,False,Option 5,option 2,option 5,857
What is the purpose of steering of roaming for a multi-mode terminal? [3GPP Release 18],question 5129,Standards specifications,18,True,False,Option 3,option 5,option 3,904
Which type of PRAs information is provisioned by the PCRF/OCS to the MME each time the IP-CAN session is established? [3GPP Release 14],question 5246,Standards specifications,14,True,False,Option 1,option 3,option 1,924
What are the physical layer signals used for RAT-dependent positioning solutions in NR? [3GPP Release 16],question 5320,Standards overview,16,True,False,Option 2,option 1,option 2,934
What are the key principles of user plane handling for inter-System data forwarding from 5GS to EPS? [3GPP Release 17],question 5369,Standards specifications,17,True,False,Option 3,option 1,option 3,939
What capability should the 5G system provide for a UE to assist another UE in ranging of a third UE? [3GPP Release 17],question 5491,Standards specifications,17,True,False,Option 3,option 2,option 3,965
What is the size of a PDCP SDU in E-UTRA? [3GPP Release 16],question 5551,Standards overview,16,True,False,Option 1,option 2,option 1,974
What is the maximum data channel bandwidth supported in CE modes A and B in DL? [3GPP Release 14],question 5819,Standards overview,14,True,False,Option 4,option 2,option 4,1024
What is the minimum number of grid points required for the TRP Measurement Grid with constant density? [3GPP Release 18],question 5821,Standards specifications,18,True,False,Option 3,option 1,option 3,1025
How many SSB bursts are used for Loop convergence in the CONNECTED state? [3GPP Release 16],question 5915,Standards specifications,16,True,False,Option 2,,option 2,1046
What does a UE expect when receiving a DCI format with a BWP indicator field indicating an active UL BWP or DL BWP change? [3GPP Release 17],question 6233,Standards specifications,17,True,False,Option 1,option 3,option 1,1122
What power saving gain range is observed for the power saving scheme with PDCCH skipping or 'go-to-sleep' signal? [3GPP Release 16],question 6254,Standards specifications,16,True,False,Option 1,option 2,option 1,1127
How can an Evolved ProSe Remote UE get information about the PLMN to which a specific Evolved ProSe UE-to-Network Relay connects? [3GPP Release 17],question 6258,Standards specifications,17,True,False,Option 5,option 2,option 5,1128
Which element can use the identifier of the MSC/SGSN to determine the operator selected by a supporting UE or the operator allocated to a UE? [3GPP Release 17],question 6379,Standards specifications,17,True,False,Option 5,option 4,option 5,1146
What happens if the target RAN node cannot support the requirements in User Plane Security Enforcement information? [3GPP Release 18],question 6582,Standards specifications,18,True,False,Option 5,option 1,option 5,1170
Which entities are involved in the PDU Session establishment for supporting HR-SBO in VPLMN? [3GPP Release 18],question 6612,Standards specifications,18,True,False,Option 1,option 2,option 1,1182
What is dispersion analytics? [3GPP Release 18],question 6760,Standards specifications,18,True,False,Option 4,option 3,option 4,1214
What is the common functional architecture called that supports mission critical services? [3GPP Release 14],question 6775,Standards overview,14,True,False,Option 4,option 2,option 4,1218
What does a UE do with a BWP inactivity timer for a cell when the timer is running? [3GPP Release 17],question 6828,Standards specifications,17,True,False,Option 3,option 2,option 3,1225
Which models are constructed for LOS channel profiles? [3GPP Release 18],question 6888,Standards specifications,18,True,False,Option 3,option 1,option 3,1236
What are the possible classifications of OFDM symbols in a slot in a downlink frame? [3GPP Release 17],question 6912,Standards specifications,17,True,False,Option 2,option 1,option 2,1240
What does MPS prioritize in the PS domain when the network does not support the requested service? [3GPP Release 18],question 6991,Standards specifications,18,True,False,Option 4,option 2,option 4,1248
Which physical channel carries the uplink scheduling grant and the sidelink scheduling grant? [3GPP Release 17],question 7255,Standards specifications,17,True,False,Option 4,option 3,option 4,1282
What is the impact on UE power consumption with the reduction of TRPs? [3GPP Release 18],question 7476,Standards specifications,18,True,False,Option 3,option 5,option 3,1323
Where are the relevant procedures for Disaster Roaming service updated? [3GPP Release 17],question 7503,Standards overview,17,True,False,Option 1,option 2,option 1,1332
What is the purpose of the SMF Service Context Transfer procedures? [3GPP Release 18],question 7509,Standards specifications,18,True,False,Option 5,option 2,option 5,1334
What criteria are considered for periodic network selection attempts? [3GPP Release 18],question 7614,Standards specifications,18,True,False,Option 2,option 4,option 2,1355
In what scenarios may the network operator reduce network traffic further without reducing the Quality of Service (QoS)? [3GPP Release 17],question 7622,Standards specifications,17,True,False,Option 5,option 4,option 5,1356
What is the purpose of inter-level correlation? [3GPP Release 18],question 7658,Standards specifications,18,True,False,Option 2,option 4,option 2,1364
What is the purpose of the handover to NR procedure? [3GPP Release 17],question 7662,Standards specifications,17,True,False,Option 3,option 2,option 3,1365
How can the K-factor of LOS channel models be changed? [3GPP Release 17],question 7962,Standards specifications,17,True,False,Option 3,option 5,option 3,1417
"What message does the AMF send to the NG-RAN during mobility registration, AM policy modification, and handover procedures? [3GPP Release 18]",question 8200,Standards specifications,18,True,False,Option 4,option 1,option 4,1456
What is the value of REFSENS used in the SNR calculation? [3GPP Release 18],question 8614,Standards specifications,18,True,False,Option 1,option 2,option 1,1533
What determines the MCS of the PUSCH transmission? [3GPP Release 17],question 8620,Standards specifications,17,True,False,Option 5,option 3,option 5,1535
What can the LCS feature allow for a Target UE? [3GPP Release 17],question 9112,Standards specifications,17,True,False,Option 5,option 4,option 5,1626
What is the maximum frequency of messages per transmitting UE supported by the E-UTRA(N)? [3GPP Release 17],question 9124,Standards specifications,17,True,False,Option 3,option 2,option 3,1628
What are RAN assistance parameters used for in RRC_IDLE? [3GPP Release 17],question 9526,Standards specifications,17,True,False,Option 5,option 2,option 5,1709
What is the granularity of the global frequency raster for category NB1 and NB2? [3GPP Release 18],question 9631,Standards specifications,18,True,False,Option 2,option 1,option 2,1730
Which PDCP packet duplication is supported in LTE for improving reliability? [3GPP Release 18],question 9650,Standards specifications,18,True,False,Option 2,option 3,option 2,1734
What requirements are specified as an update to Technical Specification 22.268 for an enhanced Public Warning System? [3GPP Release 16],question 9743,Standards overview,16,True,False,Option 1,option 3,option 1,1756
What are the location requirements added for emergency calls in the Enhancing Location Capabilities for Indoor and Outdoor Emergency Communications work item? [3GPP Release 14],question 9745,Standards specifications,14,True,False,Option 3,option 2,option 3,1757
What is the behavior of a mobile station in state GMM-REGISTERED with substate NORMAL-SERVICE? [3GPP Release 18],question 9780,Standards specifications,18,True,False,Option 3,option 1,option 3,1765
What is the minimum user throughput required at the edge of coverage in the 5G system? [3GPP Release 17],question 9880,Standards specifications,17,True,False,Option 3,option 4,option 3,1788
What information does a supporting UE operating in Idle mode provide to the network? [3GPP Release 17],question 9949,Standards specifications,17,True,False,Option 2,option 1,option 2,1802
