question,question_id,category,release,paper_correct,baseline_correct,paper_prediction,baseline_prediction,expected,paper_index
In which operation does the UDM update session management subscriber data stored in the SMF? [3GPP Release 18],question 681,Standards specifications,18,False,True,Option 4,option 1,option 1,127
What does QCI-1 represent in LTE? [3GPP Release 14],question 688,Standards overview,14,False,True,Option 1,option 2,option 2,128
Which specification specifies the Support of NR MBS in non-split gNB case? [3GPP Release 17],question 710,Standards specifications,17,False,True,Option 4,option 3,option 3,130
What type of reports are used to support QoS-aware packet scheduling in the uplink? [3GPP Release 17],question 715,Standards specifications,17,False,True,Option 2,option 4,option 4,131
Which reference point is between SMF and the CHF in the same PLMN? [3GPP Release 18],question 731,Standards specifications,18,False,True,Option 1,option 2,option 2,135
How many demodulation branches are the radiated performance requirements limited to for SAN type 1-O? [3GPP Release 18],question 812,Standards specifications,18,False,True,Option 2,option 1,option 1,143
In which mode does an MS store the forbidden tracking area identity (TAI) in a list for regional provision of service? [3GPP Release 18],question 824,Standards specifications,18,False,True,Option 4,option 3,option 3,148
In which specification are the training guidelines for MDA ML entities given? [3GPP Release 17],question 836,Standards specifications,17,False,True,Option 3,option 1,option 1,151
What is the purpose of Dual Connectivity in the RAN? [3GPP Release 18],question 913,Standards specifications,18,False,True,Option 3,option 4,option 4,162
What is the scrambling sequence generator initialized with for a UE-specific search space? [3GPP Release 17],question 921,Standards specifications,17,False,True,Option 1,option 4,option 4,164
What is the spacing between carriers for category M1? [3GPP Release 18],question 923,Standards specifications,18,False,True,Option 2,option 4,option 4,165
Which architecture supports offline and online charging for Non-seamless WLAN offloaded traffic from a 3GPP UE and for fixed devices? [3GPP Release 18],question 929,Standards specifications,18,False,True,Option 1,option 2,option 2,166
Which stage introduced eCall for EPS over E-UTRAN? [3GPP Release 14],question 946,Standards specifications,14,False,True,Option 1,option 2,option 2,170
What is the default value for the sl-MaxCID-r16 parameter in SidelinkPreconfigNR-r16? [3GPP Release 17],question 1044,Standards specifications,17,False,True,Option 4,option 2,option 2,188
"In SNPN access operation mode over 3GPP access, what lists does the MS maintain for regional provision of service? [3GPP Release 18]",question 1065,Standards specifications,18,False,True,Option 3,option 2,option 2,190
How is the 5G VN group configuration information delivered to the UE? [3GPP Release 18],question 1099,Standards specifications,18,False,True,Option 5,option 3,option 3,197
What are the characteristics of the interfering signals for E-UTRA SAN? [3GPP Release 18],question 1119,Standards specifications,18,False,True,Option 3,option 2,option 2,202
Is supporting periodic location reporting a requirement for Emergency Services? [3GPP Release 17],question 1160,Standards specifications,17,False,True,Option 1,option 2,option 2,208
What action does the network take if a QCI-1 bearer setup request for VoLTE is rejected during a terminating session? [3GPP Release 14],question 1174,Standards overview,14,False,True,Option 1,option 2,option 2,213
What inputs are required for the Nmfaf_3caDataManagement_Notify service operation? [3GPP Release 18],question 1210,Standards specifications,18,False,True,Option 3,option 2,option 2,221
Which 3GPP working group is responsible for defining the security aspects of LTE based V2X communication? [3GPP Release 14],question 1211,Standards overview,14,False,True,Option 4,option 3,option 3,222
What is the purpose of transferring CDRs via Bx? [3GPP Release 18],question 1246,Standards specifications,18,False,True,Option 1,option 2,option 2,228
What is the purpose of spreading in PUCCH formats 3 and 4? [3GPP Release 17],question 1248,Standards specifications,17,False,True,Option 4,option 2,option 2,229
How is a 5G VN group identified? [3GPP Release 18],question 1283,Standards specifications,18,False,True,Option 4,option 2,option 2,235
What are the two main groups of logical channels in the MAC sublayer? [3GPP Release 17],question 1288,Standards specifications,17,False,True,Option 1,option 2,option 2,237
What is the purpose of the feature 'Multi-server bearer coordination' for MBMS usage in MC services? [3GPP Release 15],question 1299,Standards overview,15,False,True,Option 2,option 1,option 1,238
What is VarMeasIdleConfig used for? [3GPP Release 17],question 1310,Standards specifications,17,False,True,Option 2,option 1,option 1,239
Which interface is used to transfer OAM traffic between the RN and the OAM system? [3GPP Release 17],question 1345,Standards specifications,17,False,True,Option 5,option 3,option 3,246
"What aspect does the CT Work Item ""V8-CT"" focus on? [3GPP Release 14]",question 1355,Standards overview,14,False,True,Option 3,option 4,option 4,248
What is a capability added in the V2X Application Enabler (VAE) layer? [3GPP Release 17],question 1399,Standards overview,17,False,True,Option 1,option 2,option 2,261
What determines the mapping between service data of different domains? [3GPP Release 18],question 1459,Standards specifications,18,False,True,Option 4,option 2,option 2,270
Which specification defines the Nchf_SpendingLimitControl service? [3GPP Release 18],question 1463,Standards specifications,18,False,True,Option 4,option 3,option 3,272
What is the MDA capability for paging optimization analysis used for? [3GPP Release 17],question 1512,Standards specifications,17,False,True,Option 1,option 5,option 5,281
Which two new QoS Class Identifiers (QCIs) are added in 5G for Ultra Low Latency GBR services? [3GPP Release 18],question 1524,Standards specifications,18,False,True,Option 1,option 2,option 2,282
Which USIM registration triggers the allocation of a new 5G-GUTI for the Paging Timing Collision Control feature? [3GPP Release 18],question 1580,Standards specifications,18,False,True,Option 1,option 2,option 2,292
What is the purpose of dynamic resource schedulers in MAC in gNB? [3GPP Release 17],question 1595,Standards specifications,17,False,True,Option 4,option 1,option 1,295
What does VarMeasReportList include? [3GPP Release 17],question 1614,Standards specifications,17,False,True,Option 1,option 4,option 4,298
What happens if the SDT procedure is unsuccessful? [3GPP Release 18],question 1640,Standards specifications,18,False,True,Option 3,option 5,option 5,300
What are the three features specified in TS 23.304 for 5G ProSe Direct Communication over NR based PC5 reference point? [3GPP Release 17],question 1687,Standards overview,17,False,True,Option 5,option 2,option 2,307
What does the MSC/SGSN inform gsmSCF about? [3GPP Release 17],question 1747,Standards specifications,17,False,True,Option 1,option 3,option 3,318
What specific identifiers are used for charging data correlation in the packet-switched domain? [3GPP Release 18],question 1805,Standards specifications,18,False,True,Option 3,option 2,option 2,327
What is the minimum number of unique grid points based on the simulation results for the non-uniform measurement grids? [3GPP Release 18],question 1810,Standards specifications,18,False,True,Option 5,option 3,option 3,328
What is the maximum value for the DTX to ACK probability for PUCCH transmission? [3GPP Release 18],question 1821,Standards specifications,18,False,True,Option 2,option 1,option 1,332
What is the responsibility of the network in the call control protocol? [3GPP Release 18],question 1875,Standards specifications,18,False,True,Option 4,option 2,option 2,338
What is the SNR difference corresponding to a ∆thermal value of 6 dB? [3GPP Release 18],question 1877,Standards specifications,18,False,True,Option 3,option 4,option 4,339
What must a multi-mode terminal do when it enters 3GPP mode of operation? [3GPP Release 18],question 1891,Standards specifications,18,False,True,Option 4,option 1,option 1,342
How can UE power consumption due to false paging alarms be reduced? [3GPP Release 17],question 1922,Standards overview,17,False,True,Option 3,option 5,option 5,347
The Ga reference point allows the sending of __________ from the CDF to the CGF. [3GPP Release 18],question 2007,Standards specifications,18,False,True,Option 3,option 2,option 2,358
What is the assumption about the scheduling or configuration of the UE for reception of other downlink signals in the DL PRS resource for RTT-based propagation delay compensation? [3GPP Release 17],question 2009,Standards specifications,17,False,True,Option 1,option 2,option 2,359
Which type of precoding is supported for PSSCH transmission? [3GPP Release 17],question 2015,Standards specifications,17,False,True,Option 4,option 2,option 2,360
What type of modulation is used for PDCCH? [3GPP Release 17],question 2043,Standards specifications,17,False,True,Option 2,option 1,option 1,364
What functionality does Signalling Based Activation provide? [3GPP Release 17],question 2057,Standards overview,17,False,True,Option 3,option 4,option 4,366
What is one of the functionalities introduced by the Media Handling Extensions for 5G Conversational Services work item? [3GPP Release 16],question 2080,Standards overview,16,False,True,Option 3,option 1,option 1,371
Which document describes the transport channel and control channel data processing? [3GPP Release 17],question 2101,Standards specifications,17,False,True,Option 1,option 2,option 2,376
What is the formula to determine the Paging Frame (PF)? [3GPP Release 17],question 2105,Standards specifications,17,False,True,Option 3,option 5,option 5,377
Which basic requirements shall be supported for CS multimedia calls? [3GPP Release 18],question 2126,Standards specifications,18,False,True,Option 2,option 4,option 4,382
What is the maximum achievable SNR for the demodulation test setup in band n262? [3GPP Release 18],question 2136,Standards specifications,18,False,True,Option 4,option 3,option 3,383
Which reference point supports interaction between a CTF and a CDF? [3GPP Release 18],question 2188,Standards specifications,18,False,True,Option 2,option 4,option 4,394
How does the UE report its 3GPP PS Data Off status? [3GPP Release 18],question 2193,Standards specifications,18,False,True,Option 4,option 1,option 1,396
How is the RB set for the PUSCH transmission determined when using RB set allocation? [3GPP Release 17],question 2197,Standards specifications,17,False,True,Option 1,option 3,option 3,398
What is the purpose of the Provision of potential TRS/CSI-RS occasion(s) to idle/inactive-mode UEs? [3GPP Release 17],question 2210,Standards overview,17,False,True,Option 2,option 4,option 4,401
What is the purpose of the work item related to group based enhancements in the network capability exposure functions? [3GPP Release 14],question 2337,Standards specifications,14,False,True,Option 3,option 1,option 1,420
What type of measurements does the Performance Measurement Function (PMF) support for ATSSS-LL functionality? [3GPP Release 16],question 2358,Standards overview,16,False,True,Option 2,option 5,option 5,425
What does the Work Item for eMBMS enhancements address? [3GPP Release 14],question 2370,Standards specifications,14,False,True,Option 1,option 2,option 2,428
What is the purpose of N4 session management procedures? [3GPP Release 18],question 2380,Standards specifications,18,False,True,Option 3,option 2,option 2,429
What is the maximum tolerable packet loss rate for reliability of V2X application messages? [3GPP Release 17],question 2404,Standards specifications,17,False,True,Option 1,option 4,option 4,434
What is the definition of in-channel selectivity (ICS)? [3GPP Release 18],question 2430,Standards specifications,18,False,True,Option 1,option 3,option 3,437
What is the relative increase in free space path loss from 43.5 GHz to 48.2 GHz? [3GPP Release 18],question 2432,Standards specifications,18,False,True,Option 4,option 2,option 2,438
What is the purpose of contention window adjustment procedures for UL transmissions? [3GPP Release 17],question 2488,Standards specifications,17,False,True,Option 4,option 5,option 5,450
What does the UE do if it receives an RRC message on DCCH or CCCH that does not include a mandatory field? [3GPP Release 17],question 2507,Standards specifications,17,False,True,Option 3,option 1,option 1,454
How does a UE determine the number of PSFCH resources available for multiplexing control information? [3GPP Release 17],question 2508,Standards specifications,17,False,True,Option 1,option 4,option 4,455
"In Rel-17, enhancements are made to several SEAL services. Which of the following is NOT an enhancement to SEAL services in Rel-17? [3GPP Release 17]",question 2561,Standards overview,17,False,True,Option 3,option 4,option 4,462
When can a UE transmit new data in LTE if there is new data arrival? [3GPP Release 18],question 2728,Standards specifications,18,False,True,Option 1,option 2,option 2,483
How is the assistance information made available to the UE in UE-Assisted location services? [3GPP Release 17],question 2767,Standards specifications,17,False,True,Option 1,option 2,option 2,489
What mechanisms provide priority to QoS Flows established for sessions during periods of extreme overload? [3GPP Release 18],question 2771,Standards specifications,18,False,True,Option 5,option 2,option 2,490
What is the purpose of the N5CW device in the control plane for trusted WLAN access? [3GPP Release 18],question 2859,Standards specifications,18,False,True,Option 1,option 2,option 2,504
What is the purpose of User Plane Security Enforcement information? [3GPP Release 18],question 2936,Standards specifications,18,False,True,Option 2,option 5,option 5,513
"What is the purpose of the Access Traffic Steering, Switching and Splitting (ATSS) feature in 5G networks? [3GPP Release 17]",question 2998,Standards overview,17,False,True,Option 4,option 1,option 1,522
What is the value of SCSREFSENS used in the Noc methodology? [3GPP Release 18],question 3030,Standards specifications,18,False,True,Option 3,option 1,option 1,528
What is a requirement for ProSe Discovery to determine whether other ProSe-enabled UEs are of interest to a discovering ProSe-enabled UE? [3GPP Release 17],question 3051,Standards specifications,17,False,True,Option 1,option 3,option 3,531
Which identity is used for filtering of packets at the physical layer of the receiver in NR sidelink communication? [3GPP Release 18],question 3062,Standards specifications,18,False,True,Option 4,option 3,option 3,533
What do the reference architectures for supporting Edge Computing in 5GS build upon? [3GPP Release 18],question 3066,Standards specifications,18,False,True,Option 2,option 4,option 4,534
What does the management service producer responsible for DV measurement control allow its authorized consumer to do? [3GPP Release 18],question 3068,Standards specifications,18,False,True,Option 2,option 3,option 3,535
What does a control-resource set consist of? [3GPP Release 17],question 3085,Standards specifications,17,False,True,Option 4,option 2,option 2,539
What does the ChannelAccess-CPext field indicate in Type-2 random access procedure for operation with shared spectrum channel access in FR1? [3GPP Release 17],question 3126,Standards specifications,17,False,True,Option 2,option 4,option 4,548
What is the purpose of CC5 in the 3GPP release 14? [3GPP Release 14],question 3281,Standards overview,14,False,True,Option 1,option 5,option 5,568
Which feature enhances the granularity of RSTD reporting? [3GPP Release 14],question 3284,Standards specifications,14,False,True,Option 3,option 5,option 5,569
How can the lists of 3GPP PS Data Off Exempt Services be provided to the UEs? [3GPP Release 18],question 3312,Standards specifications,18,False,True,Option 4,option 2,option 2,573
What does TSC stand for in the context of integration with IEEE TSN? [3GPP Release 16],question 3358,Standards overview,16,False,True,Option 1,option 4,option 4,581
What are the optional inputs for the Nadrf_DataManagement_StorageRequest service operation? [3GPP Release 18],question 3392,Standards specifications,18,False,True,Option 2,option 5,option 5,589
What happens if non-SDT data appears in a buffer during the SDT procedure? [3GPP Release 18],question 3397,Standards specifications,18,False,True,Option 3,option 2,option 2,590
What is the interfering signal for the in-channel selectivity requirement? [3GPP Release 18],question 3405,Standards specifications,18,False,True,Option 4,option 3,option 3,592
What does the LTE Measurement Gap Enhancement work item specify? [3GPP Release 14],question 3428,Standards specifications,14,False,True,Option 3,option 1,option 1,596
What is the granularity of the 5GS TSN bridge? [3GPP Release 18],question 3466,Standards specifications,18,False,True,Option 3,option 1,option 1,606
What is the purpose of segmentation of RRC messages? [3GPP Release 18],question 3543,Standards specifications,18,False,True,Option 2,option 4,option 4,617
What is the SNR used for simulation of REFSENS? [3GPP Release 18],question 3553,Standards specifications,18,False,True,Option 3,option 4,option 4,620
How many radio frame structures are supported for downlink and uplink transmissions? [3GPP Release 17],question 3560,Standards specifications,17,False,True,Option 2,option 3,option 3,623
What architecture is primarily used for MC service UE to obtain access to a MC service? [3GPP Release 14],question 3607,Standards overview,14,False,True,Option 1,option 2,option 2,637
Which enhancement is applicable to 'on-network' operation in MCPTT service? [3GPP Release 14],question 3608,Standards overview,14,False,True,Option 3,option 1,option 1,638
What is the minimum cell throughput capacity required on DL in the 5G system? [3GPP Release 17],question 3783,Standards specifications,17,False,True,Option 3,option 1,option 1,663
What does the physical layer interface in the LTE radio interface protocol architecture? [3GPP Release 17],question 3819,Standards specifications,17,False,True,Option 4,option 1,option 1,672
What does the I-SMF Context Transfer procedure involve? [3GPP Release 18],question 3836,Standards specifications,18,False,True,Option 1,option 5,option 5,676
What is the purpose of providing an ID in NAS signalling that represents a UE's radio capabilities? [3GPP Release 18],question 3837,Standards specifications,18,False,True,Option 4,option 2,option 2,677
What is the purpose of the EEC Context ID? [3GPP Release 18],question 3845,Standards specifications,18,False,True,Option 1,option 5,option 5,680
How does the UE report a change in its 3GPP PS Data Off status? [3GPP Release 18],question 3854,Standards specifications,18,False,True,Option 1,option 3,option 3,684
Which sublayer is responsible for routing and next-hop determination on the backhaul link? [3GPP Release 18],question 3857,Standards specifications,18,False,True,Option 3,option 4,option 4,685
What happens in the EAP-based Network Slice-Specific authentication procedure? [3GPP Release 16],question 3946,Standards overview,16,False,True,Option 2,option 3,option 3,699
Does the 3GPP PS Data Off status affect data transfer over non-3GPP access? [3GPP Release 18],question 3965,Standards specifications,18,False,True,Option 3,option 2,option 2,704
How are charges settled between the different parties involved in the registration link? [3GPP Release 18],question 4001,Standards specifications,18,False,True,Option 5,option 2,option 2,710
Which of the following is NOT a type of V2X application? [3GPP Release 17],question 4011,Standards specifications,17,False,True,Option 3,option 4,option 4,711
Which specification defines the overall 5GS Stage 2? [3GPP Release 15],question 4043,Standards overview,15,False,True,Option 1,option 4,option 4,719
What type of signal is used for wake-up in NB-IoT? [3GPP Release 17],question 4046,Standards specifications,17,False,True,Option 3,option 4,option 4,720
How can the V2X Application Server address be determined for V2X communication over LTE-Uu? [3GPP Release 14],question 4082,Standards overview,14,False,True,Option 3,option 1,option 1,728
How does the UE negotiate with the AF for analytics subscription? [3GPP Release 18],question 4083,Standards specifications,18,False,True,Option 2,option 4,option 4,729
Which document specifies the protocols for V2X authorization between the V2X Control Function and the HSS over the V4 interface? [3GPP Release 14],question 4090,Standards overview,14,False,True,Option 1,option 5,option 5,731
What is used to carry HARQ feedback over the sidelink? [3GPP Release 17],question 4113,Standards specifications,17,False,True,Option 1,option 4,option 4,734
What can the MDA MnS consumer expect from the MDA producer regarding the network context? [3GPP Release 17],question 4184,Standards specifications,17,False,True,Option 4,option 3,option 3,743
What mechanism allows an NG-RAN node to request activation of certain deactivated SSB beams? [3GPP Release 18],question 4240,Standards specifications,18,False,True,Option 2,option 1,option 1,751
Which entity controls the 5G Access Stratum-based Time Distribution for a UE? [3GPP Release 18],question 4254,Standards specifications,18,False,True,Option 3,option 2,option 2,756
What are the three connectivity models supported by 5GC to enable Edge Computing? [3GPP Release 18],question 4321,Standards specifications,18,False,True,Option 1,option 4,option 4,766
What is the maximum number of configured CCs for a UE in Carrier Aggregation (CA)? [3GPP Release 18],question 4348,Standards specifications,18,False,True,Option 16,option 3,option 3,774
Which message is used for the sidelink transfer of Paging message and System Information messages? [3GPP Release 17],question 4378,Standards specifications,17,False,True,Option 1,option 4,option 4,778
Which media transport protocols are supported for MCVideo service? [3GPP Release 14],question 4446,Standards overview,14,False,True,Option 3,option 1,option 1,788
How does the NWDAF collect data for Collective Behaviour attributes? [3GPP Release 18],question 4480,Standards specifications,18,False,True,Option 5,option 3,option 3,791
What is the maximum delay for control plane latency in the Evolved Packet System? [3GPP Release 17],question 4513,Standards specifications,17,False,True,Option 1,option 2,option 2,797
How many consecutive sub-carriers during one slot correspond to one downlink resource block? [3GPP Release 17],question 4520,Standards specifications,17,False,True,Option 3,option 2,option 2,799
How should the UE handle an error regarding the conditionality of a field in an extension addition group? [3GPP Release 17],question 4525,Standards specifications,17,False,True,Option 2,option 3,option 3,802
Which scenario requires very high connection density and the ability to share what the users see and hear? [3GPP Release 17],question 4538,Standards specifications,17,False,True,Option 5,option 4,option 4,804
Who is the consumer of the PFD Determination analytics? [3GPP Release 18],question 4561,Standards specifications,18,False,True,Option 2,option 4,option 4,807
Which reference point supports interaction between the OCF and a Rating Function (RF)? [3GPP Release 18],question 4576,Standards specifications,18,False,True,Option 3,option 4,option 4,811
What inputs are required for the Nmfaf_3daDataManagement_Deconfigure service operation? [3GPP Release 18],question 4579,Standards specifications,18,False,True,Option 3,option 1,option 1,812
What is a roaming broker enabled Home Environment? [3GPP Release 18],question 4588,Standards specifications,18,False,True,Option 4,option 2,option 2,815
What does FL server NWDAF do in the FL procedure? [3GPP Release 18],question 4651,Standards specifications,18,False,True,Option 3,option 4,option 4,827
How can a Service User initiate MPS for an MMTEL voice call with a UE that does not have an MPS subscription? [3GPP Release 18],question 4652,Standards specifications,18,False,True,Option 4,option 3,option 3,828
Which of the following is a requirement for ranging-based services in the 5G system? [3GPP Release 17],question 4704,Standards specifications,17,False,True,Option 2,option 1,option 1,837
Which reference point replaces the Gz reference point within the common charging architecture? [3GPP Release 18],question 4759,Standards specifications,18,False,True,Option 3,option 5,option 5,844
"Which transmission mode does the RLC sublayer use for SRB0, paging, and broadcast system information? [3GPP Release 18]",question 4770,Standards specifications,18,False,True,Option 2,option 1,option 1,847
What is the purpose of the Traffic management requirements in the application layer architecture? [3GPP Release 18],question 4821,Standards specifications,18,False,True,Option 1,option 2,option 2,855
What is the purpose of the Session-AMBR? [3GPP Release 18],question 4850,Standards specifications,18,False,True,Option 4,option 3,option 3,859
Which uncertainty element is applicable to the CFFdeltaNF methodology? [3GPP Release 18],question 4903,Standards specifications,18,False,True,Option 3,option 5,option 5,866
What is the purpose of the Permanent Equipment Identifier (PEI)? [3GPP Release 18],question 5079,Standards specifications,18,False,True,Option 4,option 5,option 5,894
What are the abilities provided by subscription-related priority mechanisms? [3GPP Release 18],question 5165,Standards specifications,18,False,True,Option 5,option 1,option 1,912
What is expected in terms of unauthorized UEs accessing non-public networks? [3GPP Release 17],question 5183,Standards specifications,17,False,True,Option 1,option 2,option 2,914
What security mechanism is used for securing the V3 interface between the UE and the V2X Control Function? [3GPP Release 14],question 5198,Standards overview,14,False,True,Option 1,option 3,option 3,917
What does CFI stand for in the context of LTE_HRLLC? [3GPP Release 18],question 5210,Standards specifications,18,False,True,Option 1,option 3,option 3,919
"What is the meaning of the tag 'Otherwise, the field is absent, Need R'? [3GPP Release 17]",question 5219,Standards specifications,17,False,True,Option 1,option 2,option 2,920
Which work item specifies the use cases and requirements for management of measurements for cross-operator accounting? [3GPP Release 14],question 5387,Standards specifications,14,False,True,Option 1,option 4,option 4,943
What is the term for the interference between UL and DL transmissions in different cells due to atmospheric ducting? [3GPP Release 18],question 5451,Standards specifications,18,False,True,Option 1,option 4,option 4,952
How many user priority levels are supported by the 3GPP network? [3GPP Release 18],question 5459,Standards specifications,18,False,True,Option 5,option 3,option 3,956
What is the reference point for measurement of EVM? [3GPP Release 18],question 5463,Standards specifications,18,False,True,Option 3,option 2,option 2,958
What is the purpose of the N4 Session Establishment procedure? [3GPP Release 18],question 5485,Standards specifications,18,False,True,Option 1,option 2,option 2,962
What information is broadcasted in the system information for slice aware cell reselection? [3GPP Release 17],question 5490,Standards overview,17,False,True,Option 1,option 2,option 2,964
How is the recommended bitrate conveyed from the eNB to the UE? [3GPP Release 14],question 5493,Standards overview,14,False,True,Option 1,option 3,option 3,966
How many consecutive sub-carriers form a Physical Resource Block (PRB)? [3GPP Release 17],question 5518,Standards specifications,17,False,True,Option 12,option 4,option 4,969
What should be supported for end-to-end codec negotiation? [3GPP Release 17],question 5547,Standards specifications,17,False,True,Option 1,option 4,option 4,972
What is the measurement period for EVM in E-UTRA? [3GPP Release 18],question 5607,Standards specifications,18,False,True,Option 2,option 1,option 1,981
"Besides the short service definition and description of normal operation, what other information is provided for each supplementary service? [3GPP Release 17]",question 5608,Standards specifications,17,False,True,Option 1,option 4,option 4,982
Will the UE configuration of enabled/disabled radio technologies remain the same after a power-cycle or when the USIM is disabled? [3GPP Release 18],question 5613,Standards specifications,18,False,True,Option 2,option 1,option 1,984
What is the total layer 2 buffer size for NR SL? [3GPP Release 17],question 5624,Standards specifications,17,False,True,Option 4,option 1,option 1,987
"In the context of cell status and cell reservations, what does the field 'cellBarred' indicate? [3GPP Release 17]",question 5655,Standards specifications,17,False,True,Option 1,option 3,option 3,994
What is provisioning in the context of the Target UE? [3GPP Release 17],question 5669,Standards specifications,17,False,True,Option 3,option 5,option 5,997
What is the impact of voice call continuity on the quality of the voice service? [3GPP Release 18],question 5684,Standards specifications,18,False,True,Option 2,option 3,option 3,1000
"How many energy saving states can cells, network elements, and network functions be in? [3GPP Release 18]",question 5739,Standards specifications,18,False,True,Option 3,option 2,option 2,1011
What is the optional output for the Ndccf_ContextManagement_Deregister service operation? [3GPP Release 18],question 5750,Standards specifications,18,False,True,Option 1,option 4,option 4,1012
What is EN-DC in the context of 5G? [3GPP Release 15],question 5787,Standards overview,15,False,True,Option 4,option 2,option 2,1016
What does Dual Connectivity allow the Master RAN Node to do? [3GPP Release 18],question 5788,Standards specifications,18,False,True,Option 5,option 1,option 1,1017
How are EE KPIs for network elements expressed? [3GPP Release 18],question 5835,Standards specifications,18,False,True,Option 4,option 1,option 1,1031
What are the three levels of services defined for a UE in Idle mode? [3GPP Release 17],question 5841,Standards specifications,17,False,True,Option 2,option 1,option 1,1034
What is the relative increase in cable loss per meter from 43.5 GHz to 48.2 GHz? [3GPP Release 18],question 5853,Standards specifications,18,False,True,Option 3,option 1,option 1,1037
What is the expected reliability for remote control for process automation in 5G? [3GPP Release 15],question 5892,Standards overview,15,False,True,Option 4,option 5,option 5,1039
What drives the need for secure mechanisms to establish or refresh credentials and subscriptions in IoT devices? [3GPP Release 17],question 5904,Standards specifications,17,False,True,Option 4,option 1,option 1,1043
What is the purpose of an Application Group ID? [3GPP Release 18],question 5913,Standards specifications,18,False,True,Option 5,option 3,option 3,1045
Which additional positioning technique is supported in Rel-16 LPP for GNSS SSR? [3GPP Release 16],question 5949,Standards overview,16,False,True,Option 5,option 1,option 1,1052
What is the purpose of RAN visible QoE measurements? [3GPP Release 18],question 6005,Standards specifications,18,False,True,Option 1,option 2,option 2,1067
What are the three factors that govern the PDCCH monitoring activity of the UE in RRC connected mode? [3GPP Release 17],question 6037,Standards specifications,17,False,True,Option 1,option 5,option 5,1077
What is the periodicity of half frames with SS/PBCH blocks for initial cell selection in an IAB-MT? [3GPP Release 17],question 6059,Standards specifications,17,False,True,Option 2,option 4,option 4,1083
